Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2030220165,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030230145,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2030240196,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2030250175,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030291051,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030291262,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030291497,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030291736,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030320297,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030330246,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2030340245,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2030350423,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030391069,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030391274,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030391509,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030391761,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030420360,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030430354,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2030440389,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2030450413,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030491067,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030491286,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030491535,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030491772,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030520675,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030530578,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2030540567,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2030550578,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030591091,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030591308,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030591552,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030591801,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030620734,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030630696,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2030640734,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2030650731,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030690952,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030691188,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030691442,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030691691,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030720865,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030730795,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2030740815,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2030750827,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030791011,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030791245,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030791492,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030791743,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030820932,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030830907,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2030840956,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2030851114,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030890945,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030891185,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030891436,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030891683,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030921117,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030931002,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2030940998,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2030951020,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030990935,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030991170,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030991421,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030991671,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031021135,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031031131,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2031041131,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031051137,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031090920,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031091170,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031091424,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031091669,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031121256,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031131171,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2031141181,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031151209,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031190908,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031191148,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031191406,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031191649,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031221306,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031231283,00000101,false,Rx,1,8,00,00,00,00,00,E0,00,00,
2031241315,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031251299,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031290974,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031291210,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031291455,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031291706,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031321449,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031331370,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2031341390,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031351543,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031390930,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031391172,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
